"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
6,"88A8AA","Ben,You,Amy","[[False, False, True], [True, True]]","False","A8","True","False","False",1,116,0,"AAA888",7.938,3,26.3,30,2,4,2,28,1
6,"88A8AA","Ben,You,Amy","[[False, False, True], [True, True]]","True","A8","","True","True",2,116,0,"AAA888",25.922,3,26.3,30,2,4,2,28,1
7,"AA8888","Amy,Ben,You","[[False, False, True]]","True","AA","False","False","True",1,116,1,"AA8888",3.017,3,26.3,30,0,1,1,28,1
8,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","False","AA","True","True","False",1,116,1,"AA88AA",3.057,3,26.3,30,1,3,2,28,1
8,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","True","AA","","","True",2,116,1,"AA88AA",21.106,3,26.3,30,1,3,2,28,1
9,"A8A888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,116,0,"A8A8AA",2.386,3,26.3,30,4,10,3,28,1
9,"A8A888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","True","False","False",2,116,0,"A8A8AA",9.921,3,26.3,30,4,10,3,28,1
9,"A8A888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",3,116,0,"A8A8AA",108.033,3,26.3,30,4,10,3,28,1
10,"8888AA","You,Amy,Ben","[[False, False, True], [True]]","False","88","False","True","False",1,116,1,"AAAA88",2.458,3,26.3,30,1,4,2,28,1
10,"8888AA","You,Amy,Ben","[[False, False, True], [True]]","True","88","","","True",2,116,1,"AAAA88",1.901,3,26.3,30,1,4,2,28,1
1,"AAAA88","You,Amy,Ben","[[False, False, True], [True]]","False","","False","True","False",1,117,0,"AAAA88",4.885,4,49.8,88,1,4,2,21,1
1,"AAAA88","You,Amy,Ben","[[False, False, True], [True]]","False","","","","True",2,117,0,"AAAA88",19.995,4,49.8,88,1,4,2,21,1
2,"88AAA8","You,Amy,Ben","[[False, False, True], [True]]","False","A8","False","True","False",1,117,0,"AA88A8",6.036,4,49.8,88,2,4,2,21,1
2,"88AAA8","You,Amy,Ben","[[False, False, True], [True]]","True","A8","","","True",2,117,0,"AA88A8",2.508,4,49.8,88,2,4,2,21,1
3,"A8A8AA","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","False","False","False",1,117,0,"A8A8AA",5.539,4,49.8,88,4,6,2,21,1
3,"A8A8AA","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","True","False","True",2,117,0,"A8A8AA",2.942,4,49.8,88,4,6,2,21,1
4,"AAA888","Ben,You,Amy","[[False, False, True], [True, True]]","True","A8","","False","False",1,117,0,"AAA888",11.41,4,49.8,88,2,4,2,21,1
5,"88AA88","Ben,You,Amy","[[False, False, True], [True, True]]","False","","True","False","False",1,117,0,"AA88AA",1.95,4,49.8,88,1,4,2,21,1
5,"88AA88","Ben,You,Amy","[[False, False, True], [True, True]]","False","","","True","True",2,117,0,"AA88AA",11.647,4,49.8,88,1,4,2,21,1
6,"AA8888","You,Amy,Ben","[[True]]","True","AA","","","True",1,117,1,"AA8888",5.973,4,49.8,88,0,1,1,21,1
7,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,117,1,"A8A8A8",4.186,4,49.8,88,3,10,3,21,1
